id,codigo,nome,grupo,cnpj,endereco,municipio,cep,telefone,ativo,data_criacao,data_atualizacao
1,0001,SELLETA ARQUITETURA E CONSTRUCAO LTDA,Grupo Selleta,43.076.530/0001-26,"HOLLYWOOD , 552A",Cuiabá,78070-345,(65) 3365-2372,1,2025-06-24 20:13:44,2025-06-24 20:13:44
2,0002,JNRR CONSTRUÇÃO LTDA,Grupo Selleta,45.317.261/0001-78,"ANTONIO BARBOSA DE SOUZA, 2724",Pontes e Lacerda,78250-000,(65) 9949-3060,1,2025-06-24 20:13:44,2025-06-24 20:13:44
3,0003,SELLETA INFRAESTRUTURA E LOGÍSTICA LTDA,Grupo Selleta,21.264.069/0001-00,"HOLLYWOOD , 552B",Cuiabá,78070-345,(65) 3642-3030,1,2025-06-24 20:13:44,2025-06-24 20:13:44
4,0004,RESIDENCIAL JATOBA SPE LTDA,Grupo Selleta,50.429.548/0001-20,"HOLLYWOOD, 552B",Cuiabá,78070-345,(65)99922-1764,1,2025-06-24 20:13:44,2025-06-24 20:13:44
5,0005,S.I ESTRUTURA METALICA E PRE MOLDADO LTDA,Grupo Selleta,52.454.189/0001-96,"MARG ANTONIO BARBOSA DE SOUZA, 2650",Pontes e Lacerda,78250-000,(65)99259-0346,1,2025-06-24 20:13:44,2025-06-24 20:13:44
6,0006,RLS CONTABILIDADE E CONSULTORIA EMPRESARIAL LTDA,Grupo Selleta,51.940.626/0001-19,"PADRE CORREA DE TOLEDO (LOT JD INDEPEND, 345",Cuiabá,78031-070,(65)99922-1764,0,2025-06-24 20:13:44,2025-06-24 20:19:12
7,0007,SW CONSTRUÇÃO,Grupo Selleta,46.072.847/0001-82,"RIO DE JANEIRO, 475",Tapurah,78573-000,,0,2025-06-24 20:13:44,2025-06-24 20:19:17
